path,kind,extension,codec,bytes,megabytes,width,height,longSide,duration,bitRateKbps,pixFmt,variant,workUsage,recommendation
specta/asset/specta4.jpg,image,jpg,mjpeg,138827,0.139,3000,2000,3000,0.04,27765,yuvj444p,desktop/source,,convert-webp
specta/asset/specta5.jpg,image,jpg,mjpeg,62475,0.062,1920,1280,1920,0.04,12495,yuvj444p,desktop/source,,convert-webp
specta/asset/specta6.jpg,image,jpg,mjpeg,529016,0.529,3000,2000,3000,0.04,105803,yuvj444p,desktop/source,,convert-webp
specta/asset/specta7.jpg,image,jpg,mjpeg,222789,0.223,3000,2000,3000,0.04,44558,yuvj444p,desktop/source,,convert-webp
specta/asset/specta8.jpg,image,jpg,mjpeg,259834,0.260,1620,1080,1620,0.04,51967,yuvj444p,desktop/source,,convert-webp
specta/asset/specta9.jpg,image,jpg,mjpeg,1753456,1.753,3000,2000,3000,0.04,350691,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/optimized/thesis1-mobile.webp,image,webp,webp,9262,0.009,1080,721,1080,,,yuv420p,mobile,specta-thesis:cover+first:mobile,ok
spectathesis/asset/optimized/thesis1.webp,image,webp,webp,15146,0.015,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:cover+first:desktop,ok
spectathesis/asset/optimized/thesis10-mobile.webp,image,webp,webp,69056,0.069,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-11:mobile,ok
spectathesis/asset/optimized/thesis10.webp,image,webp,webp,144108,0.144,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-11:desktop,ok
spectathesis/asset/optimized/thesis11-mobile.webp,image,webp,webp,70194,0.070,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-12:mobile,ok
spectathesis/asset/optimized/thesis11.webp,image,webp,webp,151334,0.151,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-12:desktop,ok
spectathesis/asset/optimized/thesis12-mobile.webp,image,webp,webp,77972,0.078,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-13:mobile,ok
spectathesis/asset/optimized/thesis12.webp,image,webp,webp,163052,0.163,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-13:desktop,ok
spectathesis/asset/optimized/thesis13-mobile.webp,image,webp,webp,70878,0.071,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-14:mobile,ok
spectathesis/asset/optimized/thesis13.webp,image,webp,webp,149988,0.150,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-14:desktop,ok
spectathesis/asset/optimized/thesis14-mobile.webp,image,webp,webp,58402,0.058,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-15:mobile,ok
spectathesis/asset/optimized/thesis14.webp,image,webp,webp,120226,0.120,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-15:desktop,ok
spectathesis/asset/optimized/thesis15-mobile.webp,image,webp,webp,49294,0.049,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-16:mobile,ok
spectathesis/asset/optimized/thesis15.webp,image,webp,webp,101320,0.101,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-16:desktop,ok
spectathesis/asset/optimized/thesis16-mobile.webp,image,webp,webp,58504,0.059,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-17:mobile,ok
spectathesis/asset/optimized/thesis16.webp,image,webp,webp,121214,0.121,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-17:desktop,ok
spectathesis/asset/optimized/thesis17-mobile.webp,image,webp,webp,48350,0.048,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-18:mobile,ok
spectathesis/asset/optimized/thesis17.webp,image,webp,webp,100804,0.101,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-18:desktop,ok
spectathesis/asset/optimized/thesis18-mobile.webp,image,webp,webp,59156,0.059,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-19:mobile,ok
spectathesis/asset/optimized/thesis18.webp,image,webp,webp,123554,0.124,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-19:desktop,ok
spectathesis/asset/optimized/thesis19-mobile.webp,image,webp,webp,68378,0.068,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-20:mobile,ok
spectathesis/asset/optimized/thesis19.webp,image,webp,webp,143862,0.144,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-20:desktop,ok
spectathesis/asset/optimized/thesis2-mobile.webp,image,webp,webp,41084,0.041,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-3:mobile,ok
spectathesis/asset/optimized/thesis2.webp,image,webp,webp,85678,0.086,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-3:desktop,ok
spectathesis/asset/optimized/thesis20-mobile.webp,image,webp,webp,37674,0.038,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-21:mobile,ok
spectathesis/asset/optimized/thesis20.webp,image,webp,webp,81256,0.081,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-21:desktop,ok
spectathesis/asset/optimized/thesis21-mobile.webp,image,webp,webp,103340,0.103,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-22:mobile,ok
spectathesis/asset/optimized/thesis21.webp,image,webp,webp,233262,0.233,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-22:desktop,ok
spectathesis/asset/optimized/thesis3-mobile.webp,image,webp,webp,4188,0.004,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-4:mobile,ok
spectathesis/asset/optimized/thesis3.webp,image,webp,webp,11984,0.012,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-4:desktop,ok
spectathesis/asset/optimized/thesis4-mobile.webp,image,webp,webp,36194,0.036,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-5:mobile,ok
spectathesis/asset/optimized/thesis4.webp,image,webp,webp,75672,0.076,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-5:desktop,ok
spectathesis/asset/optimized/thesis5-mobile.webp,image,webp,webp,24058,0.024,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-6:mobile,ok
spectathesis/asset/optimized/thesis5.webp,image,webp,webp,52146,0.052,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-6:desktop,ok
