source_id,Art,Biology,Business,Chemistry,Computer science,Economics,Engineering,Environmental science,Geography,Geology,History,Materials science,Mathematics,Medicine,Philosophy,Physics,Political science,Psychology,Sociology,Unknown
https://openalex.org/W2963061782,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
https://openalex.org/W3006143078,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://openalex.org/W2981726317,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://openalex.org/W2670007299,1,0,1,0,10,0,1,0,1,0,0,0,0,0,1,0,0,2,2,1
https://openalex.org/W1587413890,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W3043126041,0,1,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
https://openalex.org/W3036079579,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://openalex.org/W2963285294,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
https://openalex.org/W2024975382,0,0,0,0,16,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
https://openalex.org/W2912917423,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W2510522738,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W2095972438,0,0,1,0,7,0,1,0,0,0,0,0,0,0,2,0,2,0,6,1
https://openalex.org/W2936463392,0,0,0,2,10,1,0,2,0,0,0,0,0,2,0,0,1,1,0,1
https://openalex.org/W4224017605,0,0,4,0,7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,4
https://openalex.org/W2131764468,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1
https://openalex.org/W2613631318,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
https://openalex.org/W2955731184,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
https://openalex.org/W1985151727,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,7
https://openalex.org/W2963304955,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://openalex.org/W2997491196,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://openalex.org/W2144337810,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,2
https://openalex.org/W2989173596,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
https://openalex.org/W2613605741,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W2266385688,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,1,0,0,0,0
https://openalex.org/W3021971398,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W4391164045,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W4367052130,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
https://openalex.org/W2094942327,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,14,0,0
https://openalex.org/W2162112407,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
https://openalex.org/W4285107918,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
https://openalex.org/W20106690,0,0,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1
https://openalex.org/W3039203433,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
https://openalex.org/W4221073331,0,1,0,1,8,0,0,0,0,0,0,1,0,2,0,1,0,2,1,0
https://openalex.org/W2231184814,2,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,7,2,3,0
https://openalex.org/W2742715076,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3
https://openalex.org/W4285142853,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
https://openalex.org/W3209423374,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,2,4,1
https://openalex.org/W4280623691,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://openalex.org/W3160523492,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
https://openalex.org/W2014826025,0,0,2,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1
https://openalex.org/W1819863052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W2113165395,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://openalex.org/W2018754857,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
https://openalex.org/W2346055820,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8
https://openalex.org/W2021532338,1,0,1,0,9,0,0,0,2,0,1,0,0,0,0,0,0,1,4,1
https://openalex.org/W2940696983,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1
https://openalex.org/W4322500306,0,0,2,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4
https://openalex.org/W4289516714,0,0,1,0,6,0,0,0,0,0,0,1,1,1,0,0,3,2,0,5
https://openalex.org/W2036050124,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,1,0
https://openalex.org/W3034036692,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3
